idx,n,edges,root_children,total_nodes,max_depth,est_cover,truth_cover
0,78,580,2,10001,44,59,61
1,79,636,2,10001,47,62,63
2,177,3223,2,10001,138,155,158
3,137,1807,2,10001,100,116,117
4,54,287,2,677,26,38,40
5,147,2105,2,10001,107,124,126
6,150,2209,2,10001,115,129,131
7,116,1352,2,10001,82,96,98
8,181,3382,2,10001,143,159,163
9,192,3660,2,10001,154,168,172
10,54,277,2,1129,26,38,39
11,193,3779,2,10001,152,169,173
12,135,1846,2,10001,101,114,118
13,180,3202,2,10001,142,157,160
14,87,725,2,10001,55,69,71
15,60,359,2,3239,33,45,46
16,108,1171,2,10001,73,88,91
17,194,3778,2,10001,153,171,173
18,180,3141,2,10001,138,157,160
19,151,2343,2,10001,114,130,133
20,166,2721,2,10001,128,143,147
21,146,2134,2,10001,110,125,128
22,158,2475,2,10001,118,136,138
23,138,1941,2,10001,103,117,117
24,92,797,2,10001,60,72,74
25,97,954,2,10001,67,78,81
26,53,268,2,1001,26,38,39
27,167,2706,2,10001,127,144,147
28,83,663,2,10001,47,63,66
29,103,1053,2,10001,69,84,86
30,138,1889,2,10001,105,117,120
31,174,2974,2,10001,138,152,156
32,187,3498,2,10001,149,164,166
33,68,461,2,4773,38,49,52
34,62,374,2,3323,33,46,47
35,93,815,2,10001,61,74,77
36,110,1218,2,10001,79,91,94
37,79,638,2,10001,51,63,64
38,84,678,2,10001,52,66,68
39,59,353,2,2281,35,43,45
40,71,502,2,9475,41,54,56
41,102,997,2,10001,68,82,85
42,65,419,2,4947,36,49,51
43,178,3209,2,10001,144,157,162
44,100,976,2,10001,68,81,82
45,116,1251,2,10001,77,93,96
46,190,3651,2,10001,150,167,170
47,53,284,2,1377,27,39,40
48,197,3830,2,10001,155,174,177
49,177,3116,2,10001,139,154,158
