idx,n,edges,root_children,total_nodes,est_cover,truth_cover
0,18,39,2,129,10,10
1,15,33,2,63,9,9
2,22,51,2,323,13,13
3,15,29,2,79,8,8
4,19,44,2,249,11,11
5,15,18,0,1,6,6
6,9,5,0,1,2,2
7,19,44,2,263,11,11
8,11,12,0,1,5,5
9,9,11,2,5,4,4
10,13,18,2,3,6,6
11,17,29,2,49,8,8
12,10,13,2,9,5,5
13,9,8,0,1,4,4
14,10,7,0,1,3,3
15,17,38,2,121,10,10
16,10,9,0,1,3,3
17,15,19,2,5,6,6
18,13,21,2,15,7,7
19,22,59,2,681,14,14
20,15,27,2,69,9,9
21,13,18,2,3,6,6
22,20,46,2,243,11,11
23,18,43,2,341,11,11
24,20,55,2,401,12,12
