idx,n,edges,root_children,total_nodes,best_visits,best_value,est_cover,truth_cover
0,18,39,5,6,1,0.1,10,10
1,15,33,5,6,1,0.111111,9,9
2,22,51,5,6,1,0.0769231,13,13
3,15,29,5,6,1,0.125,8,8
4,19,44,5,6,1,0.0833333,12,11
5,15,18,5,6,1,0.166667,6,6
6,9,5,5,6,1,0.5,2,2
7,19,44,5,6,1,0.0909091,11,11
8,11,12,5,6,1,0.2,5,5
9,9,11,5,6,1,0.25,4,4
10,13,18,5,6,1,0.166667,6,6
11,17,29,5,6,1,0.125,8,8
12,10,13,5,6,1,0.2,5,5
13,9,8,5,6,1,0.25,4,4
14,10,7,5,6,1,0.333333,3,3
15,17,38,5,6,1,0.1,10,10
16,10,9,5,6,1,0.333333,3,3
17,15,19,5,6,1,0.166667,6,6
18,13,21,5,6,1,0.142857,7,7
19,22,59,5,6,1,0.0833333,12,14
20,15,27,5,6,1,0.111111,9,9
21,13,18,5,6,1,0.166667,6,6
22,20,46,5,6,1,0.0909091,11,11
23,18,43,5,6,1,0.0909091,11,11
24,20,55,5,6,1,0.0833333,12,12
