idx,n,edges,root_children,total_nodes,best_visits,best_value,est_cover,truth_cover
0,78,580,0,1,0,0,71,61
1,79,636,0,1,0,0,78,63
2,177,3223,0,1,0,0,175,158
3,137,1807,0,1,0,0,135,117
4,54,287,0,1,0,0,49,40
5,147,2105,0,1,0,0,145,126
6,150,2209,0,1,0,0,149,131
7,116,1352,0,1,0,0,113,98
8,181,3382,0,1,0,0,178,163
9,192,3660,0,1,0,0,190,172
10,54,277,0,1,0,0,53,39
11,193,3779,0,1,0,0,191,173
12,135,1846,0,1,0,0,134,118
13,180,3202,0,1,0,0,179,160
14,87,725,0,1,0,0,84,71
15,60,359,0,1,0,0,56,46
16,108,1171,0,1,0,0,104,91
17,194,3778,0,1,0,0,190,173
18,180,3141,0,1,0,0,178,160
19,151,2343,0,1,0,0,149,133
20,166,2721,0,1,0,0,165,147
21,146,2134,0,1,0,0,143,128
22,158,2475,0,1,0,0,156,138
23,138,1941,0,1,0,0,137,117
24,92,797,0,1,0,0,89,74
25,97,954,0,1,0,0,94,81
26,53,268,0,1,0,0,48,39
27,167,2706,0,1,0,0,164,147
28,83,663,0,1,0,0,80,66
29,103,1053,0,1,0,0,101,86
30,138,1889,0,1,0,0,136,120
31,174,2974,0,1,0,0,172,156
32,187,3498,0,1,0,0,185,166
33,68,461,0,1,0,0,62,52
34,62,374,0,1,0,0,60,47
35,93,815,0,1,0,0,90,77
36,110,1218,0,1,0,0,106,94
37,79,638,0,1,0,0,77,64
38,84,678,0,1,0,0,83,68
39,59,353,0,1,0,0,57,45
40,71,502,0,1,0,0,66,56
41,102,997,0,1,0,0,99,85
42,65,419,0,1,0,0,63,51
43,178,3209,0,1,0,0,174,162
44,100,976,0,1,0,0,96,82
45,116,1251,0,1,0,0,111,96
46,190,3651,0,1,0,0,188,170
47,53,284,0,1,0,0,51,40
48,197,3830,0,1,0,0,192,177
49,177,3116,0,1,0,0,176,158
