idx,n,edges,root_children,total_nodes,max_depth,est_cover,truth_cover
0,78,580,2,10001,14,60,61
1,79,636,2,10001,14,62,63
2,177,3223,2,10001,14,155,158
3,137,1807,2,10001,14,115,117
4,54,287,2,10001,14,38,40
5,147,2105,2,10001,14,124,126
6,150,2209,2,10001,14,128,131
7,116,1352,2,10001,14,96,98
8,181,3382,2,10001,14,158,163
9,192,3660,2,10001,14,167,172
10,54,277,2,10001,14,38,39
11,193,3779,2,10001,14,169,173
12,135,1846,2,10001,14,114,118
13,180,3202,2,10001,14,157,160
14,87,725,2,10001,14,69,71
15,60,359,2,10001,14,45,46
16,108,1171,2,10001,14,88,91
17,194,3778,2,10001,14,171,173
18,180,3141,2,10001,14,155,160
19,151,2343,2,10001,14,130,133
20,166,2721,2,10001,14,143,147
21,146,2134,2,10001,14,124,128
22,158,2475,2,10001,14,136,138
23,138,1941,2,10001,14,117,117
24,92,797,2,10001,14,72,74
25,97,954,2,10001,14,78,81
26,53,268,2,10001,14,38,39
27,167,2706,2,10001,14,145,147
28,83,663,2,10001,14,63,66
29,103,1053,2,10001,14,84,86
30,138,1889,2,10001,14,117,120
31,174,2974,2,10001,14,151,156
32,187,3498,2,10001,14,163,166
33,68,461,2,10001,14,49,52
34,62,374,2,10001,14,46,47
35,93,815,2,10001,14,74,77
36,110,1218,2,10001,14,90,94
37,79,638,2,10001,14,63,64
38,84,678,2,10001,14,66,68
39,59,353,2,10001,14,43,45
40,71,502,2,10001,14,54,56
41,102,997,2,10001,14,82,85
42,65,419,2,10001,14,49,51
43,178,3209,2,10001,14,156,162
44,100,976,2,10001,14,80,82
45,116,1251,2,10001,14,93,96
46,190,3651,2,10001,14,167,170
47,53,284,2,10001,14,39,40
48,197,3830,2,10001,14,173,177
49,177,3116,2,10001,14,154,158
