idx,n,edges,root_children,total_nodes,max_depth,est_cover,truth_cover
0,78,580,2,10001,45,59,61
1,79,636,2,10001,47,62,63
2,177,3223,2,10001,108,155,158
3,137,1807,2,10001,99,115,117
4,54,287,2,677,26,38,40
5,147,2105,2,10001,108,124,126
6,150,2209,2,10001,107,128,131
7,116,1352,2,10001,82,96,98
8,181,3382,2,10001,111,158,163
9,192,3660,2,10001,109,167,172
10,54,277,2,1115,26,38,39
11,193,3779,2,10001,107,170,173
12,135,1846,2,10001,100,114,118
13,180,3202,2,10001,112,156,160
14,87,725,2,10001,56,69,71
15,60,359,2,3187,33,45,46
16,108,1171,2,10001,73,88,91
17,194,3778,2,10001,110,170,173
18,180,3141,2,10001,108,155,160
19,151,2343,2,10001,109,129,133
20,166,2721,2,10001,109,143,147
21,146,2134,2,10001,109,124,128
22,158,2475,2,10001,112,135,138
23,138,1941,2,10001,104,117,117
24,92,797,2,10001,61,72,74
25,97,954,2,10001,66,78,81
26,53,268,2,995,26,38,39
27,167,2706,2,10001,111,144,147
28,83,663,2,10001,47,63,66
29,103,1053,2,10001,70,83,86
30,138,1889,2,10001,103,117,120
31,174,2974,2,10001,109,151,156
32,187,3498,2,10001,109,163,166
33,68,461,2,4855,39,49,52
34,62,374,2,3315,33,46,47
35,93,815,2,10001,60,74,77
36,110,1218,2,10001,79,90,94
37,79,638,2,10001,51,63,64
38,84,678,2,10001,52,65,68
39,59,353,2,2177,34,43,45
40,71,502,2,9599,42,54,56
41,102,997,2,10001,71,82,85
42,65,419,2,4833,37,49,51
43,178,3209,2,10001,107,155,162
44,100,976,2,10001,65,80,82
45,116,1251,2,10001,76,93,96
46,190,3651,2,10001,110,167,170
47,53,284,2,1391,27,39,40
48,197,3830,2,10001,110,172,177
49,177,3116,2,10001,111,154,158
