idx,n,edges,root_children,total_nodes,max_depth,est_cover,truth_cover
0,70,464,2,6459,39,52,54
1,64,392,2,2809,34,47,50
2,34,108,2,87,12,22,23
3,58,325,2,1421,30,42,44
4,40,157,2,213,16,27,28
5,63,419,2,3469,35,47,49
6,52,263,2,973,25,37,37
7,40,136,2,281,17,27,28
8,32,91,2,27,9,19,20
9,40,161,2,213,17,27,28
10,58,342,2,1999,32,43,46
11,49,249,2,703,24,36,36
12,53,305,2,1181,26,38,39
13,53,279,2,779,29,38,39
14,53,283,2,813,27,38,39
15,61,367,2,2725,33,44,46
16,50,270,2,665,25,36,37
17,38,141,2,181,16,26,28
18,44,191,2,297,19,30,32
19,58,343,2,2067,32,43,44
20,52,272,2,923,27,37,38
21,66,398,2,4491,34,48,49
22,38,131,2,79,13,24,24
23,68,441,2,8899,40,52,53
24,64,406,2,4299,36,48,49
25,35,103,2,49,11,22,22
26,47,184,2,403,20,32,33
27,56,296,2,577,24,38,40
28,47,220,2,219,18,31,33
29,46,199,2,433,20,31,32
30,65,412,2,3523,37,48,49
31,39,162,2,197,17,26,26
32,47,210,2,527,20,33,33
33,67,469,2,6765,38,51,52
34,70,472,2,5319,37,51,52
35,67,434,2,3923,36,49,52
36,52,288,2,1237,30,38,39
37,40,148,2,131,16,26,27
38,34,120,2,65,12,22,22
39,47,221,2,665,26,33,35
40,51,257,2,917,25,36,40
41,51,272,2,1255,26,37,38
42,54,272,2,1013,28,38,38
43,51,261,2,971,28,36,38
44,42,192,2,361,21,30,30
45,69,488,2,7965,42,53,56
46,57,337,2,1899,30,42,42
47,38,121,2,87,13,24,24
48,33,101,2,69,14,21,21
49,59,335,2,1865,31,43,46
