idx,n,edges,root_children,total_nodes,best_visits,best_value,est_cover,truth_cover
0,18,39,18,101,6,0.1,10,10
1,15,33,15,101,6,0.111111,9,9
2,22,51,22,101,4,0.0728022,14,13
3,15,29,15,101,5,0.125,8,8
4,19,44,19,101,7,0.0898268,11,11
5,15,18,15,16,13,0.166667,6,6
6,9,5,9,10,15,0.5,2,2
7,19,44,19,101,7,0.0909091,11,11
8,11,12,11,15,12,0.2,5,5
9,9,11,9,81,8,0.214583,4,4
10,13,18,13,51,12,0.166667,6,6
11,17,29,17,101,4,0.121528,8,8
12,10,13,10,52,16,0.2,5,5
13,9,8,9,10,12,0.25,4,4
14,10,7,10,11,15,0.333333,3,3
15,17,38,17,101,6,0.1,10,10
16,10,9,10,11,15,0.333333,3,3
17,15,19,15,53,12,0.166667,6,6
18,13,21,13,98,12,0.138393,7,7
19,22,59,22,101,6,0.0714286,14,14
20,15,27,15,101,8,0.111111,9,9
21,13,18,13,43,12,0.166667,6,6
22,20,46,20,101,4,0.0909091,11,11
23,18,43,18,101,5,0.0909091,11,11
24,20,55,20,101,6,0.0833333,12,12
